movie_title,rating
Swimfan,4
Midnight in the Garden of Good and Evil,5
Nine Queens,4
"Blood In, Blood Out",5
White Fang,3
The Boondock Saints II: All Saints Day,5
Se7en,4
The Informant!,5
Amidst the Devils Wings,5
Made,4
Silver Medallist,4
Donnie Brasco,5
Central Intelligence,4
Hurricane Streets,5
Trade of Innocents,4
Man on Fire,5
A Few Good Men,5
Cheaper by the Dozen 2,5
Dead Man Walking,5
Street Kings,5
Lucky Number Slevin,5
Getaway,5
Birth,5
From Russia with Love,5
88 Minutes,4
Money Talks,4
Unaccompanied Minors,3
Eye for an Eye,4
Dutch Kills,5
Lord of War,4
Stone Cold,4
Taken,3
A Passage to India,4
Shanghai Surprise,4
The Next Three Days,4
A Lonely Place to Die,5
The Pledge,5
Be Cool,4
Six Days Seven Nights,4
RocknRolla,4
Wicked Blood,3
Ransom,5
Broken Horses,5
Winnie the Pooh,5
Cop Out,5
Robin Hood: Prince of Thieves,4
The Glass House,5
Checkmate,5
The Quick and the Dead,5
Dream House,4
Switchback,4
Valley of the Wolves: Iraq,5
Bad Boys,4
The Night Listener,5
Owning Mahowny,5
Checkmate,5
Eraser,4
The Transporter,4
Medicine Man,5
The Gambler,4
The Veil,1
Micmacs,1
Scream: The TV Series            ,3
The Purge: Election Year,3
The Mummy Returns,1
The Visit,2
Dungeons & Dragons: Wrath of the Dragon God,2
Warlock: The Armageddon,1
The Messengers            ,1
The Blue Bird,1
The Torture Chamber of Dr. Sadism,2
The Jungle Book,1
Aliens,2
Thor,2
Hulk,1
The Amazing Spider-Man,1
Her Cry: La Llorona Investigation,1
Universal Soldier: The Return,1
Congo,1
Good,1
The Imaginarium of Doctor Parnassus,1
Perfume: The Story of a Murderer,1
Inside Out,1
Mars Needs Moms,1
Multiplicity,2
Sarahs Key,2
Transformers: Age of Extinction,1
When the Lights Went Out,1
Teenage Mutant Ninja Turtles: Out of the Shadows,1
Boogeyman,2
Spy Kids 3-D: Game Over,1
Night Watch,1
Slither,2
Gods and Generals,3
I Still Know What You Did Last Summer,1
Dune,2
The House of the Devil,3
Doomsday,2
Urban Legend,2
Inglourious Basterds,2
Urban Legend,1
Insidious: Chapter 2,1
The Invention of Lying,1
Godsend,1
What Planet Are You From?,2
Snow White and the Huntsman,2
Persepolis,1
1911,1
Scream 2,3
Pandorum,1
After Earth,1
Howard the Duck,2
Impostor,2
Foodfight!,2
Just Like Heaven,2
Doom,2
Flyboys,1
A Sound of Thunder,1
Viy,2
Little White Lies,2
